Size of Array , Type of Array , Sorting Algorithm , Number of Comparisons, Execution Time
1,Random,Heap,0,4e-07
1,Random,Bubble,0,1e-07
1,Random,Selection,0,1e-07
1,Random,Insertion,0,1e-07
1,Sorted,Heap,0,1e-07
1,Sorted,Bubble,0,1e-07
1,Sorted,Selection,0,1e-07
1,Sorted,Insertion,0,1e-07
1,Inversely-sorted,Heap,0,0
1,Inversely-sorted,Bubble,0,1e-07
1,Inversely-sorted,Selection,0,1e-07
1,Inversely-sorted,Insertion,0,1e-07
2,Random,Heap,1,1e-07
2,Random,Bubble,1,1e-07
2,Random,Selection,1,1e-07
2,Random,Insertion,1,1e-07
2,Sorted,Heap,1,1e-07
2,Sorted,Bubble,1,1e-07
2,Sorted,Selection,1,1e-07
2,Sorted,Insertion,1,1e-07
2,Inversely-sorted,Heap,1,1e-07
2,Inversely-sorted,Bubble,1,1e-07
2,Inversely-sorted,Selection,1,0
2,Inversely-sorted,Insertion,1,1e-07
3,Random,Heap,3,1e-07
3,Random,Bubble,3,1e-07
3,Random,Selection,3,1e-07
3,Random,Insertion,3,2e-07
3,Sorted,Heap,3,1e-07
3,Sorted,Bubble,2,1e-07
3,Sorted,Selection,3,1e-07
3,Sorted,Insertion,2,1e-07
3,Inversely-sorted,Heap,3,2e-07
3,Inversely-sorted,Bubble,3,2e-07
3,Inversely-sorted,Selection,3,1e-07
3,Inversely-sorted,Insertion,3,1e-07
4,Random,Heap,6,2e-07
4,Random,Bubble,6,1e-07
4,Random,Selection,6,1e-07
4,Random,Insertion,6,1e-07
4,Sorted,Heap,6,1e-07
4,Sorted,Bubble,3,0
4,Sorted,Selection,6,1e-07
4,Sorted,Insertion,3,1e-07
4,Inversely-sorted,Heap,7,2e-07
4,Inversely-sorted,Bubble,6,1e-07
4,Inversely-sorted,Selection,6,1e-07
4,Inversely-sorted,Insertion,6,2e-07
5,Random,Heap,12,2e-07
5,Random,Bubble,10,2e-07
5,Random,Selection,10,2e-07
5,Random,Insertion,9,2e-07
5,Sorted,Heap,10,2e-07
5,Sorted,Bubble,4,2e-07
5,Sorted,Selection,10,1e-07
5,Sorted,Insertion,4,1e-07
5,Inversely-sorted,Heap,12,2e-07
5,Inversely-sorted,Bubble,10,2e-07
5,Inversely-sorted,Selection,10,2e-07
